kare,sn,ana_sembol,kucuk_burc_1,kucuk_burc_2,ham_ana_sembol,ham_kucuk_burc_1,ham_kucuk_burc_2
112,3.733,0.2109,0.6916,0.6812,0.2109,0.3106,0.4198
113,3.767,0.2026,0.7381,0.6865,0.2026,0.3315,0.4231
114,3.8,0.2,0.7793,0.6586,0.2,0.35,0.4059
115,3.833,0.1949,0.8858,0.7748,0.1949,0.3978,0.4775
116,3.867,0.1917,0.9659,0.8804,0.1917,0.4338,0.5426
117,3.9,0.1893,0.9653,0.9245,0.1893,0.4335,0.5698
118,3.933,0.1896,0.9655,0.9257,0.1896,0.4336,0.5705
119,3.967,0.1876,0.9931,1.0,0.1876,0.446,0.6163
120,4.0,0.1887,0.9931,1.0,0.1884,0.446,0.6163
121,4.033,0.1883,0.9964,1.0,0.1881,0.4475,0.6163
122,4.067,0.1887,0.9964,1.0,0.1884,0.4475,0.6163
123,4.1,0.1895,1.0,1.0,0.189,0.4491,0.6163
124,4.133,0.1906,1.0,1.0,0.1898,0.4491,0.6163
125,4.167,0.1909,1.0,1.0,0.19,0.4491,0.6163
126,4.2,0.1912,1.0,1.0,0.1902,0.4491,0.6163
127,4.233,0.1908,1.0,1.0,0.1899,0.4491,0.6163
128,4.267,0.1904,1.0,1.0,0.1896,0.4491,0.6163
129,4.3,0.1904,1.0,1.0,0.1896,0.4491,0.6163
130,4.333,0.1906,1.0,1.0,0.1898,0.4491,0.6163
131,4.367,1.0,1.0,1.0,0.7776,0.4491,0.6163
132,4.4,0.9997,1.0,1.0,0.7774,0.4491,0.6163
133,4.433,0.9996,1.0,1.0,0.7773,0.4491,0.6163
134,4.467,0.9996,1.0,1.0,0.7773,0.4491,0.6163
135,4.5,0.9994,1.0,1.0,0.7772,0.4491,0.6163
136,4.533,0.9997,1.0,1.0,0.7774,0.4491,0.6163
137,4.567,0.9997,1.0,1.0,0.7774,0.4491,0.6163

# yeni video egrisi
