cift,pasife_alinacak_listing_id,sira,korunan_listing_id,korunan_edisyon,islem,pin,edisyon
Cancer + Capricorn,4556472588,1,4553826440,Midnight Blue,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Cancer + Capricorn,4552575580,2,4553826440,Midnight Blue,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Cancer + Capricorn,4555412601,3,4553826440,Midnight Blue,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Cancer + Capricorn,4555138950,4,4553826440,Midnight Blue,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Cancer + Gemini,4552563179,1,4553816507,Midnight Blue,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Cancer + Gemini,4555423780,2,4553816507,Midnight Blue,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Cancer + Gemini,4556472780,3,4553816507,Midnight Blue,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Cancer + Gemini,4555126565,4,4553816507,Midnight Blue,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Cancer + Leo,4552563305,1,4553827468,Midnight Blue,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Cancer + Leo,4555413103,2,4553827468,Midnight Blue,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Cancer + Leo,4556458047,3,4553827468,Midnight Blue,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Cancer + Leo,4555126893,4,4553827468,Midnight Blue,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Cancer + Libra,4556451473,1,4552118763,Champagne Ivory,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Cancer + Libra,4555408020,2,4552118763,Champagne Ivory,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Cancer + Libra,4553828010,3,4552118763,Champagne Ivory,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
