size,price
8x10,30.99
A4,32.99
11x14,36.99
12x16,40.99
A3,42.99
12x18,43.99
16x20,47.99
16x24,49.99
A2,51.99
18x24,56.99
20x30,80.99
24x36,100.99
30x40,124.99
